@relation (null)_(null)

@attribute pcm_fftMag_mfcc[1] numeric
@attribute pcm_fftMag_mfcc[2] numeric
@attribute pcm_fftMag_mfcc[3] numeric
@attribute pcm_fftMag_mfcc[4] numeric
@attribute pcm_fftMag_mfcc[5] numeric
@attribute pcm_fftMag_mfcc[6] numeric
@attribute pcm_fftMag_mfcc[7] numeric
@attribute pcm_fftMag_mfcc[8] numeric
@attribute pcm_fftMag_mfcc[9] numeric
@attribute pcm_fftMag_mfcc[10] numeric
@attribute pcm_fftMag_mfcc[11] numeric
@attribute pcm_fftMag_mfcc[12] numeric
@attribute pcm_LOGenergy numeric
@attribute pcm_fftMag_mfcc_de[1] numeric
@attribute pcm_fftMag_mfcc_de[2] numeric
@attribute pcm_fftMag_mfcc_de[3] numeric
@attribute pcm_fftMag_mfcc_de[4] numeric
@attribute pcm_fftMag_mfcc_de[5] numeric
@attribute pcm_fftMag_mfcc_de[6] numeric
@attribute pcm_fftMag_mfcc_de[7] numeric
@attribute pcm_fftMag_mfcc_de[8] numeric
@attribute pcm_fftMag_mfcc_de[9] numeric
@attribute pcm_fftMag_mfcc_de[10] numeric
@attribute pcm_fftMag_mfcc_de[11] numeric
@attribute pcm_fftMag_mfcc_de[12] numeric
@attribute pcm_LOGenergy_de numeric
@attribute pcm_fftMag_mfcc_de_de[1] numeric
@attribute pcm_fftMag_mfcc_de_de[2] numeric
@attribute pcm_fftMag_mfcc_de_de[3] numeric
@attribute pcm_fftMag_mfcc_de_de[4] numeric
@attribute pcm_fftMag_mfcc_de_de[5] numeric
@attribute pcm_fftMag_mfcc_de_de[6] numeric
@attribute pcm_fftMag_mfcc_de_de[7] numeric
@attribute pcm_fftMag_mfcc_de_de[8] numeric
@attribute pcm_fftMag_mfcc_de_de[9] numeric
@attribute pcm_fftMag_mfcc_de_de[10] numeric
@attribute pcm_fftMag_mfcc_de_de[11] numeric
@attribute pcm_fftMag_mfcc_de_de[12] numeric
@attribute pcm_LOGenergy_de_de numeric
@attribute gunornot {yes,no}

@data

-32.51871,-14.22443,-10.79311,-16.99627,-23.92801,-7.471476,-16.82462,-6.677238,-9.410674,2.462673,-4.05921,5.255515,25.66784,2.616177,1.989334,1.975142,1.088809,2.997026,-2.342852,2.3825,0.931932,4.041258,1.091268,2.343117,1.454959,-0.095029,0.007351,0.158636,-0.354067,0.704182,-0.027803,-0.100565,-0.703863,-0.361608,-0.839545,-1.63779,-1.171662,-1.051858,0.039798,yes
-25.38058,-6.618273,-6.193147,-10.64749,-22.72192,-13.05084,-8.220857,-4.130526,-1.880439,7.280915,-2.048728,9.90062,25.40179,3.383608,2.509444,1.567112,2.293088,1.768247,-2.666116,0.8002,0.239745,2.719408,-2.376231,1.299813,0.563769,-0.026666,-0.465642,-0.282633,-0.526875,0.647837,-0.005596,0.036534,-1.263388,-0.87516,-1.224938,-1.631715,-1.783192,-1.353145,0.06705,yes
-23.00689,-8.080841,-3.21738,-14.72662,-9.545929,-16.39605,-9.214001,-3.290932,7.030497,5.509891,6.651134,10.20776,25.32572,2.269217,2.522458,0.408821,4.007577,3.472402,-2.684044,-0.345663,-0.530012,0.504456,-5.363931,-2.99354,-3.358737,0.06978,-0.857718,-0.630139,-0.614787,0.251657,-0.427845,0.441826,-1.102414,-0.750643,-1.133132,-0.378996,-0.821551,-1.186849,0.066122,yes
-20.35658,-4.749005,-6.745411,-6.66566,-22.27782,-16.33977,-16.62893,-7.171663,-4.034222,-10.94209,-2.915318,5.598237,25.70557,0.461449,0.309608,0.123925,2.86861,2.73136,-1.989586,-2.570361,-2.712894,-0.315029,-3.839706,-3.904515,-2.90392,0.157817,-0.878809,-1.00437,-0.172028,-0.73983,-0.836511,0.785155,-0.050284,-0.30024,-0.569515,1.29678,0.794567,-0.186775,0.02292,yes
-23.68462,-2.546774,-8.472873,1.050697,-6.788052,-19.24724,-14.3489,-7.80673,-5.811503,-15.24548,-18.59361,-9.386981,25.86485,-0.211331,-0.061441,-0.377198,2.059334,0.376246,-0.471989,-1.44429,-1.344965,-0.107182,-0.071974,0.837525,-2.745444,0.143338,-0.374169,-0.905249,0.365201,-1.355914,-1.360302,1.246194,0.90789,0.482746,-0.239393,1.789793,1.977306,0.494585,-0.021965,yes
-22.73446,-7.837265,-2.945773,-4.193097,-10.44406,-21.57318,-18.50521,-15.4371,2.965414,-1.539929,-8.948928,5.178389,25.92131,0.22984,-1.220457,1.099981,-0.431941,-0.866228,0.153633,1.098092,-0.853978,0.177654,1.461692,3.357115,-0.676753,0.051157,-0.255578,-0.261684,0.270936,-0.785883,-0.339481,1.370564,1.368816,1.654109,-0.579728,0.526259,0.430022,-0.602965,-0.046595,yes
-22.8746,-6.843916,-7.003187,-5.666229,-13.58158,-16.13929,-15.49731,-5.883039,2.994772,0.448939,13.85556,-3.309537,25.93454,0.514178,-1.238756,1.746799,-1.121719,-1.530316,2.475315,2.359559,0.954261,-0.938848,0.934335,3.262177,-1.999397,0.013285,-0.462687,0.061554,-0.020287,-0.497362,0.596559,0.834832,0.379792,0.815081,-0.563972,-0.532513,-1.681942,-0.167686,-0.03917,yes
-19.61239,-8.702721,-1.98035,-5.466904,-23.21219,-17.12558,-10.56426,-12.4034,-7.549092,-11.48084,-2.354329,-0.824249,25.92651,-1.179194,-0.410153,0.416605,0.52972,1.987237,3.389585,2.371794,4.408036,-2.797838,-1.711564,-2.966728,-6.291768,-0.01013,-0.432522,0.571974,-0.677708,0.260339,0.831444,0.134953,-0.808464,0.096765,0.141889,-0.571265,-1.725822,0.470015,-0.0194,yes
-22.67477,-8.307826,-0.22159,-3.920995,-8.055563,-9.094466,-6.521579,-4.552274,-5.248491,-5.603349,-5.580029,-16.38265,25.92868,-1.820252,-0.158825,-0.136946,-0.908304,1.932308,2.084195,-0.182179,0.099431,-1.439294,-1.147912,-4.410265,-0.776367,-0.021869,0.136982,0.738547,-0.492803,0.253118,-0.15059,-1.254031,-1.272477,-1.325356,0.521892,-0.424613,-0.701533,1.915701,-0.011678,yes
